cliente_id,ano_mes,diasConse,login_flag,churn_flag,risco,perfil
12,2025-10,48.0,2,1,Alerta vermelho,chronic
12,2025-11,52.0,1,1,Alerta vermelho,chronic
12,2025-12,52.0,2,1,Alerta vermelho,chronic
12,2026-01,42.0,2,1,Alerta vermelho,chronic
13,2025-07,51.0,3,1,Alerta vermelho,chronic
13,2025-08,54.0,2,1,Alerta vermelho,chronic
13,2025-09,43.0,1,1,Alerta vermelho,chronic
13,2025-10,50.0,1,1,Alerta vermelho,chronic
13,2025-11,53.0,3,1,Alerta vermelho,chronic
13,2025-12,51.0,2,1,Alerta vermelho,chronic
13,2026-01,57.0,2,1,Alerta vermelho,chronic
14,2025-07,50.0,4,1,Alerta vermelho,weekend
14,2025-08,53.0,6,1,Alerta vermelho,weekend
14,2025-09,52.0,6,1,Alerta vermelho,weekend
14,2025-10,54.0,7,1,Alerta vermelho,weekend
14,2025-11,39.0,5,1,Alerta vermelho,weekend
14,2025-12,46.0,6,1,Alerta vermelho,weekend
14,2026-01,47.0,6,1,Alerta vermelho,weekend
15,2025-07,0.0,4,0,Estado de alerta,weekend
15,2025-08,0.0,5,0,Estado de alerta,weekend
15,2025-09,0.0,5,0,Estado de alerta,weekend
15,2025-10,0.0,3,0,Estado de alerta,weekend
15,2025-11,0.0,5,0,Estado de alerta,weekend
15,2025-12,0.0,4,0,Estado de alerta,weekend
15,2026-01,0.0,4,0,Estado de alerta,weekend
16,2025-07,0.0,3,0,Estado de alerta,weekend
16,2025-08,0.0,3,0,Estado de alerta,weekend
16,2025-09,0.0,6,0,Estado de alerta,weekend
16,2025-10,0.0,5,0,Estado de alerta,weekend
16,2025-11,0.0,4,0,Estado de alerta,weekend
16,2025-12,0.0,3,0,Estado de alerta,weekend
16,2026-01,0.0,5,0,Estado de alerta,weekend
17,2025-07,0.0,4,0,Estado de alerta,weekend
17,2025-08,0.0,5,0,Estado de alerta,weekend
17,2025-09,0.0,3,0,Estado de alerta,weekend
17,2025-10,0.0,4,0,Estado de alerta,weekend
17,2025-11,0.0,7,0,Estado de alerta,weekend
17,2025-12,0.0,4,0,Estado de alerta,weekend
17,2026-01,0.0,4,0,Estado de alerta,weekend
18,2025-07,0.0,16,0,Estado de alerta,gradual
18,2025-08,0.0,17,0,Estado de alerta,gradual
18,2025-09,0.0,12,0,Estado de alerta,gradual
18,2025-10,0.0,16,0,Estado de alerta,gradual
18,2025-11,0.0,15,0,Estado de alerta,gradual
18,2025-12,0.0,16,0,Estado de alerta,gradual
18,2026-01,0.0,14,0,Estado de alerta,gradual
19,2025-07,0.0,17,0,Estado de alerta,gradual
19,2025-08,0.0,19,0,Estado de alerta,gradual
19,2025-09,0.0,16,0,Estado de alerta,gradual
19,2025-10,0.0,13,0,Estado de alerta,gradual
19,2025-11,0.0,18,0,Estado de alerta,gradual
19,2025-12,0.0,12,0,Estado de alerta,gradual
19,2026-01,0.0,18,0,Estado de alerta,gradual
20,2025-07,0.0,6,0,Estado de alerta,weekend
20,2025-08,0.0,4,0,Estado de alerta,weekend
20,2025-09,0.0,7,0,Estado de alerta,weekend
20,2025-10,0.0,6,0,Estado de alerta,weekend
20,2025-11,0.0,5,0,Estado de alerta,weekend
20,2025-12,0.0,7,0,Estado de alerta,weekend
20,2026-01,0.0,6,0,Estado de alerta,weekend
21,2025-07,0.0,2,0,Estado de alerta,chronic
21,2025-08,0.0,2,0,Estado de alerta,chronic
21,2025-09,0.0,1,0,Estado de alerta,chronic
21,2025-10,0.0,3,0,Estado de alerta,chronic
21,2025-11,0.0,2,0,Estado de alerta,chronic
21,2025-12,0.0,2,0,Estado de alerta,chronic
21,2026-01,0.0,2,0,Estado de alerta,chronic
22,2025-07,0.0,14,0,Estado de alerta,heavy
22,2025-08,0.0,18,0,Estado de alerta,heavy
22,2025-09,0.0,15,0,Estado de alerta,heavy
22,2025-10,0.0,17,0,Estado de alerta,heavy
22,2025-11,0.0,17,0,Estado de alerta,heavy
22,2025-12,0.0,17,0,Estado de alerta,heavy
22,2026-01,0.0,17,0,Estado de alerta,heavy
23,2025-07,0.0,4,0,Estado de alerta,weekend
23,2025-08,0.0,6,0,Estado de alerta,weekend
23,2025-09,0.0,6,0,Estado de alerta,weekend
23,2025-10,0.0,5,0,Estado de alerta,weekend
23,2025-11,0.0,6,0,Estado de alerta,weekend
23,2025-12,0.0,5,0,Estado de alerta,weekend
23,2026-01,0.0,5,0,Estado de alerta,weekend
24,2025-07,0.0,18,0,Estado de alerta,gradual
24,2025-08,0.0,15,0,Estado de alerta,gradual
24,2025-09,0.0,13,0,Estado de alerta,gradual
24,2025-10,0.0,13,0,Estado de alerta,gradual
24,2025-11,0.0,15,0,Estado de alerta,gradual
24,2025-12,0.0,18,0,Estado de alerta,gradual
24,2026-01,0.0,16,0,Estado de alerta,gradual
25,2025-07,0.0,16,0,Estado de alerta,gradual
25,2025-08,0.0,14,0,Estado de alerta,gradual
25,2025-09,0.0,13,0,Estado de alerta,gradual
25,2025-10,0.0,13,0,Estado de alerta,gradual
25,2025-11,0.0,13,0,Estado de alerta,gradual
25,2025-12,0.0,15,0,Estado de alerta,gradual
25,2026-01,0.0,14,0,Estado de alerta,gradual
26,2025-07,0.0,2,0,Estado de alerta,chronic
26,2025-08,0.0,2,0,Estado de alerta,chronic
26,2025-09,0.0,2,0,Estado de alerta,chronic
26,2025-10,0.0,3,0,Estado de alerta,chronic
26,2025-11,0.0,1,0,Estado de alerta,chronic
26,2025-12,0.0,2,0,Estado de alerta,chronic
26,2026-01,0.0,2,0,Estado de alerta,chronic
27,2025-07,0.0,6,0,Estado de alerta,weekend
27,2025-08,0.0,5,0,Estado de alerta,weekend
27,2025-09,0.0,7,0,Estado de alerta,weekend
27,2025-10,0.0,7,0,Estado de alerta,weekend
27,2025-11,0.0,4,0,Estado de alerta,weekend
27,2025-12,0.0,4,0,Estado de alerta,weekend
27,2026-01,0.0,7,0,Estado de alerta,weekend
28,2025-07,0.0,16,0,Estado de alerta,gradual
28,2025-08,0.0,18,0,Estado de alerta,gradual
28,2025-09,0.0,14,0,Estado de alerta,gradual
28,2025-10,0.0,14,0,Estado de alerta,gradual
28,2025-11,0.0,13,0,Estado de alerta,gradual
28,2025-12,0.0,17,0,Estado de alerta,gradual
28,2026-01,0.0,15,0,Estado de alerta,gradual
29,2025-07,0.0,12,0,Estado de alerta,gradual
29,2025-08,0.0,17,0,Estado de alerta,gradual
29,2025-09,0.0,16,0,Estado de alerta,gradual
29,2025-10,0.0,17,0,Estado de alerta,gradual
29,2025-11,0.0,16,0,Estado de alerta,gradual
29,2025-12,0.0,15,0,Estado de alerta,gradual
29,2026-01,0.0,15,0,Estado de alerta,gradual
30,2025-07,0.0,18,0,Estado de alerta,heavy
30,2025-08,0.0,18,0,Estado de alerta,heavy
30,2025-09,0.0,17,0,Estado de alerta,heavy
30,2025-10,0.0,18,0,Estado de alerta,heavy
30,2025-11,0.0,18,0,Estado de alerta,heavy
30,2025-12,0.0,18,0,Estado de alerta,heavy
30,2026-01,0.0,16,0,Estado de alerta,heavy
31,2025-07,0.0,1,0,Estado de alerta,chronic
31,2025-08,0.0,2,0,Estado de alerta,chronic
31,2025-09,0.0,2,0,Estado de alerta,chronic
31,2025-10,0.0,3,0,Estado de alerta,chronic
31,2025-11,0.0,2,0,Estado de alerta,chronic
31,2025-12,0.0,1,0,Estado de alerta,chronic
31,2026-01,0.0,2,0,Estado de alerta,chronic
32,2025-07,0.0,5,0,Estado de alerta,weekend
32,2025-08,0.0,5,0,Estado de alerta,weekend
32,2025-09,0.0,5,0,Estado de alerta,weekend
32,2025-10,0.0,5,0,Estado de alerta,weekend
32,2025-11,0.0,3,0,Estado de alerta,weekend
32,2025-12,0.0,4,0,Estado de alerta,weekend
32,2026-01,0.0,5,0,Estado de alerta,weekend
33,2025-07,0.0,19,0,Estado de alerta,heavy
33,2025-08,0.0,16,0,Estado de alerta,heavy
33,2025-09,0.0,16,0,Estado de alerta,heavy
33,2025-10,0.0,18,0,Estado de alerta,heavy
33,2025-11,0.0,14,0,Estado de alerta,heavy
33,2025-12,0.0,17,0,Estado de alerta,heavy
33,2026-01,0.0,17,0,Estado de alerta,heavy
34,2025-07,0.0,2,0,Estado de alerta,chronic
34,2025-08,0.0,3,0,Estado de alerta,chronic
34,2025-09,0.0,3,0,Estado de alerta,chronic
34,2025-10,0.0,1,0,Estado de alerta,chronic
34,2025-11,0.0,1,0,Estado de alerta,chronic
34,2025-12,0.0,2,0,Estado de alerta,chronic
34,2026-01,0.0,2,0,Estado de alerta,chronic
35,2025-07,0.0,2,0,Estado de alerta,chronic
35,2025-08,0.0,2,0,Estado de alerta,chronic
35,2025-09,0.0,2,0,Estado de alerta,chronic
35,2025-10,0.0,2,0,Estado de alerta,chronic
35,2025-11,0.0,3,0,Estado de alerta,chronic
35,2025-12,0.0,2,0,Estado de alerta,chronic
35,2026-01,0.0,2,0,Estado de alerta,chronic
36,2025-07,0.0,2,0,Estado de alerta,chronic
36,2025-08,0.0,3,0,Estado de alerta,chronic
36,2025-09,0.0,3,0,Estado de alerta,chronic
36,2025-10,0.0,3,0,Estado de alerta,chronic
36,2025-11,0.0,2,0,Estado de alerta,chronic
36,2025-12,0.0,2,0,Estado de alerta,chronic
36,2026-01,0.0,2,0,Estado de alerta,chronic
37,2025-07,0.0,5,0,Estado de alerta,weekend
37,2025-08,0.0,5,0,Estado de alerta,weekend
37,2025-09,0.0,6,0,Estado de alerta,weekend
37,2025-10,0.0,6,0,Estado de alerta,weekend
37,2025-11,0.0,4,0,Estado de alerta,weekend
37,2025-12,0.0,4,0,Estado de alerta,weekend
37,2026-01,0.0,5,0,Estado de alerta,weekend
38,2025-07,0.0,19,0,Estado de alerta,heavy
38,2025-08,0.0,18,0,Estado de alerta,heavy
38,2025-09,0.0,17,0,Estado de alerta,heavy
38,2025-10,0.0,16,0,Estado de alerta,heavy
38,2025-11,0.0,15,0,Estado de alerta,heavy
38,2025-12,0.0,18,0,Estado de alerta,heavy
38,2026-01,0.0,19,0,Estado de alerta,heavy
39,2025-07,0.0,2,0,Estado de alerta,chronic
39,2025-08,0.0,2,0,Estado de alerta,chronic
39,2025-09,0.0,2,0,Estado de alerta,chronic
39,2025-10,0.0,2,0,Estado de alerta,chronic
39,2025-11,0.0,2,0,Estado de alerta,chronic
39,2025-12,0.0,2,0,Estado de alerta,chronic
39,2026-01,0.0,2,0,Estado de alerta,chronic
40,2025-07,0.0,18,0,Estado de alerta,gradual
40,2025-08,0.0,15,0,Estado de alerta,gradual
40,2025-09,0.0,18,0,Estado de alerta,gradual
40,2025-10,0.0,16,0,Estado de alerta,gradual
40,2025-11,0.0,14,0,Estado de alerta,gradual
40,2025-12,0.0,13,0,Estado de alerta,gradual
40,2026-01,0.0,12,0,Estado de alerta,gradual
41,2025-07,0.0,16,0,Estado de alerta,heavy
41,2025-08,0.0,19,0,Estado de alerta,heavy
41,2025-09,0.0,20,0,Estado de alerta,heavy
41,2025-10,0.0,18,0,Estado de alerta,heavy
41,2025-11,0.0,17,0,Estado de alerta,heavy
41,2025-12,0.0,17,0,Estado de alerta,heavy
41,2026-01,0.0,15,0,Estado de alerta,heavy
42,2025-07,0.0,17,0,Estado de alerta,gradual
42,2025-08,0.0,21,0,Estado de alerta,gradual
42,2025-09,0.0,11,0,Estado de alerta,gradual
42,2025-10,0.0,16,0,Estado de alerta,gradual
42,2025-11,0.0,16,0,Estado de alerta,gradual
42,2025-12,0.0,12,0,Estado de alerta,gradual
42,2026-01,0.0,15,0,Estado de alerta,gradual
43,2025-07,0.0,20,0,Estado de alerta,heavy
43,2025-08,0.0,20,0,Estado de alerta,heavy
43,2025-09,0.0,20,0,Estado de alerta,heavy
43,2025-10,0.0,18,0,Estado de alerta,heavy
43,2025-11,0.0,17,0,Estado de alerta,heavy
43,2025-12,0.0,18,0,Estado de alerta,heavy
43,2026-01,0.0,18,0,Estado de alerta,heavy
44,2025-07,0.0,2,0,Estado de alerta,chronic
44,2025-08,0.0,2,0,Estado de alerta,chronic
44,2025-09,0.0,3,0,Estado de alerta,chronic
44,2025-10,0.0,2,0,Estado de alerta,chronic
44,2025-11,0.0,3,0,Estado de alerta,chronic
44,2025-12,0.0,2,0,Estado de alerta,chronic
44,2026-01,0.0,2,0,Estado de alerta,chronic
45,2025-07,0.0,5,0,Estado de alerta,weekend
45,2025-08,0.0,6,0,Estado de alerta,weekend
45,2025-09,0.0,4,0,Estado de alerta,weekend
45,2025-10,0.0,4,0,Estado de alerta,weekend
45,2025-11,0.0,5,0,Estado de alerta,weekend
45,2025-12,0.0,6,0,Estado de alerta,weekend
45,2026-01,0.0,6,0,Estado de alerta,weekend
46,2025-07,0.0,2,0,Estado de alerta,chronic
46,2025-08,0.0,2,0,Estado de alerta,chronic
46,2025-09,0.0,2,0,Estado de alerta,chronic
46,2025-10,0.0,2,0,Estado de alerta,chronic
46,2025-11,0.0,3,0,Estado de alerta,chronic
46,2025-12,0.0,3,0,Estado de alerta,chronic
46,2026-01,0.0,2,0,Estado de alerta,chronic
47,2025-07,0.0,6,0,Estado de alerta,weekend
47,2025-08,0.0,6,0,Estado de alerta,weekend
47,2025-09,0.0,3,0,Estado de alerta,weekend
47,2025-10,0.0,5,0,Estado de alerta,weekend
47,2025-11,0.0,4,0,Estado de alerta,weekend
47,2025-12,0.0,5,0,Estado de alerta,weekend
47,2026-01,0.0,6,0,Estado de alerta,weekend
48,2025-07,0.0,16,0,Estado de alerta,gradual
48,2025-08,0.0,14,0,Estado de alerta,gradual
48,2025-09,0.0,14,0,Estado de alerta,gradual
48,2025-10,0.0,12,0,Estado de alerta,gradual
48,2025-11,0.0,12,0,Estado de alerta,gradual
48,2025-12,0.0,18,0,Estado de alerta,gradual
48,2026-01,0.0,11,0,Estado de alerta,gradual
49,2025-07,0.0,18,0,Estado de alerta,gradual
49,2025-08,0.0,17,0,Estado de alerta,gradual
49,2025-09,0.0,15,0,Estado de alerta,gradual
49,2025-10,0.0,16,0,Estado de alerta,gradual
49,2025-11,0.0,15,0,Estado de alerta,gradual
49,2025-12,0.0,14,0,Estado de alerta,gradual
49,2026-01,0.0,12,0,Estado de alerta,gradual
50,2025-07,0.0,4,0,Estado de alerta,weekend
50,2025-08,0.0,5,0,Estado de alerta,weekend
50,2025-09,0.0,7,0,Estado de alerta,weekend
50,2025-10,0.0,6,0,Estado de alerta,weekend
50,2025-11,0.0,4,0,Estado de alerta,weekend
50,2025-12,0.0,3,0,Estado de alerta,weekend
50,2026-01,0.0,5,0,Estado de alerta,weekend
51,2025-07,0.0,2,0,Estado de alerta,chronic
51,2025-08,0.0,2,0,Estado de alerta,chronic
51,2025-09,0.0,1,0,Estado de alerta,chronic
51,2025-10,0.0,3,0,Estado de alerta,chronic
51,2025-11,0.0,3,0,Estado de alerta,chronic
51,2025-12,0.0,2,0,Estado de alerta,chronic
51,2026-01,0.0,2,0,Estado de alerta,chronic
52,2025-07,0.0,2,0,Estado de alerta,chronic
52,2025-08,0.0,2,0,Estado de alerta,chronic
52,2025-09,0.0,2,0,Estado de alerta,chronic
52,2025-10,0.0,2,0,Estado de alerta,chronic
52,2025-11,0.0,2,0,Estado de alerta,chronic
52,2025-12,0.0,2,0,Estado de alerta,chronic
52,2026-01,0.0,2,0,Estado de alerta,chronic
53,2025-07,0.0,2,0,Estado de alerta,chronic
53,2025-08,0.0,3,0,Estado de alerta,chronic
53,2025-09,0.0,2,0,Estado de alerta,chronic
53,2025-10,0.0,2,0,Estado de alerta,chronic
53,2025-11,0.0,2,0,Estado de alerta,chronic
53,2025-12,0.0,2,0,Estado de alerta,chronic
53,2026-01,0.0,3,0,Estado de alerta,chronic
54,2025-07,0.0,2,0,Estado de alerta,chronic
54,2025-08,0.0,2,0,Estado de alerta,chronic
54,2025-09,0.0,3,0,Estado de alerta,chronic
54,2025-10,0.0,1,0,Estado de alerta,chronic
54,2025-11,0.0,2,0,Estado de alerta,chronic
54,2025-12,0.0,2,0,Estado de alerta,chronic
54,2026-01,0.0,2,0,Estado de alerta,chronic
55,2025-07,0.0,16,0,Estado de alerta,gradual
55,2025-08,0.0,12,0,Estado de alerta,gradual
55,2025-09,0.0,17,0,Estado de alerta,gradual
55,2025-10,0.0,13,0,Estado de alerta,gradual
55,2025-11,0.0,13,0,Estado de alerta,gradual
55,2025-12,0.0,15,0,Estado de alerta,gradual
55,2026-01,0.0,12,0,Estado de alerta,gradual
56,2025-07,0.0,2,0,Estado de alerta,chronic
56,2025-08,0.0,1,0,Estado de alerta,chronic
56,2025-09,0.0,3,0,Estado de alerta,chronic
56,2025-10,0.0,1,0,Estado de alerta,chronic
56,2025-11,0.0,2,0,Estado de alerta,chronic
56,2025-12,0.0,2,0,Estado de alerta,chronic
56,2026-01,0.0,2,0,Estado de alerta,chronic
57,2025-07,0.0,18,0,Estado de alerta,heavy
57,2025-08,0.0,17,0,Estado de alerta,heavy
57,2025-09,0.0,15,0,Estado de alerta,heavy
57,2025-10,0.0,18,0,Estado de alerta,heavy
57,2025-11,0.0,16,0,Estado de alerta,heavy
57,2025-12,0.0,18,0,Estado de alerta,heavy
57,2026-01,0.0,18,0,Estado de alerta,heavy
58,2025-07,0.0,4,0,Estado de alerta,weekend
58,2025-08,0.0,6,0,Estado de alerta,weekend
58,2025-09,0.0,4,0,Estado de alerta,weekend
58,2025-10,0.0,5,0,Estado de alerta,weekend
58,2025-11,0.0,4,0,Estado de alerta,weekend
58,2025-12,0.0,6,0,Estado de alerta,weekend
58,2026-01,0.0,5,0,Estado de alerta,weekend
59,2025-07,0.0,18,0,Estado de alerta,heavy
59,2025-08,0.0,17,0,Estado de alerta,heavy
59,2025-09,0.0,18,0,Estado de alerta,heavy
59,2025-10,0.0,18,0,Estado de alerta,heavy
59,2025-11,0.0,15,0,Estado de alerta,heavy
59,2025-12,0.0,18,0,Estado de alerta,heavy
59,2026-01,0.0,19,0,Estado de alerta,heavy
60,2025-07,0.0,6,0,Estado de alerta,weekend
60,2025-08,0.0,5,0,Estado de alerta,weekend
60,2025-09,0.0,5,0,Estado de alerta,weekend
60,2025-10,0.0,4,0,Estado de alerta,weekend
60,2025-11,0.0,6,0,Estado de alerta,weekend
60,2025-12,0.0,4,0,Estado de alerta,weekend
60,2026-01,0.0,4,0,Estado de alerta,weekend
61,2025-07,0.0,18,0,Estado de alerta,gradual
61,2025-08,0.0,14,0,Estado de alerta,gradual
61,2025-09,0.0,20,0,Estado de alerta,gradual
61,2025-10,0.0,14,0,Estado de alerta,gradual
61,2025-11,0.0,18,0,Estado de alerta,gradual
61,2025-12,0.0,14,0,Estado de alerta,gradual
61,2026-01,0.0,13,0,Estado de alerta,gradual
62,2025-07,0.0,4,0,Estado de alerta,weekend
62,2025-08,0.0,5,0,Estado de alerta,weekend
62,2025-09,0.0,5,0,Estado de alerta,weekend
62,2025-10,0.0,3,0,Estado de alerta,weekend
62,2025-11,0.0,7,0,Estado de alerta,weekend
62,2025-12,0.0,5,0,Estado de alerta,weekend
62,2026-01,0.0,3,0,Estado de alerta,weekend
63,2025-07,0.0,2,0,Estado de alerta,chronic
63,2025-08,0.0,2,0,Estado de alerta,chronic
63,2025-09,0.0,2,0,Estado de alerta,chronic
63,2025-10,0.0,1,0,Estado de alerta,chronic
63,2025-11,0.0,2,0,Estado de alerta,chronic
63,2025-12,0.0,3,0,Estado de alerta,chronic
63,2026-01,0.0,2,0,Estado de alerta,chronic
64,2025-07,0.0,16,0,Estado de alerta,gradual
64,2025-08,0.0,16,0,Estado de alerta,gradual
64,2025-09,0.0,17,0,Estado de alerta,gradual
64,2025-10,0.0,12,0,Estado de alerta,gradual
64,2025-11,0.0,14,0,Estado de alerta,gradual
64,2025-12,0.0,12,0,Estado de alerta,gradual
64,2026-01,0.0,14,0,Estado de alerta,gradual
65,2025-07,0.0,3,0,Estado de alerta,weekend
65,2025-08,0.0,4,0,Estado de alerta,weekend
65,2025-09,0.0,4,0,Estado de alerta,weekend
65,2025-10,0.0,5,0,Estado de alerta,weekend
65,2025-11,0.0,5,0,Estado de alerta,weekend
65,2025-12,0.0,8,0,Estado de alerta,weekend
65,2026-01,0.0,5,0,Estado de alerta,weekend
66,2025-07,0.0,15,0,Estado de alerta,gradual
66,2025-08,0.0,12,0,Estado de alerta,gradual
66,2025-09,0.0,17,0,Estado de alerta,gradual
66,2025-10,0.0,18,0,Estado de alerta,gradual
66,2025-11,0.0,17,0,Estado de alerta,gradual
66,2025-12,0.0,15,0,Estado de alerta,gradual
66,2026-01,0.0,13,0,Estado de alerta,gradual
67,2025-07,0.0,18,0,Estado de alerta,heavy
67,2025-08,0.0,16,0,Estado de alerta,heavy
67,2025-09,0.0,18,0,Estado de alerta,heavy
67,2025-10,0.0,18,0,Estado de alerta,heavy
67,2025-11,0.0,18,0,Estado de alerta,heavy
67,2025-12,0.0,17,0,Estado de alerta,heavy
67,2026-01,0.0,15,0,Estado de alerta,heavy
68,2025-07,0.0,2,0,Estado de alerta,chronic
68,2025-08,0.0,2,0,Estado de alerta,chronic
68,2025-09,0.0,2,0,Estado de alerta,chronic
68,2025-10,0.0,2,0,Estado de alerta,chronic
68,2025-11,0.0,2,0,Estado de alerta,chronic
68,2025-12,0.0,3,0,Estado de alerta,chronic
68,2026-01,0.0,3,0,Estado de alerta,chronic
69,2025-07,0.0,16,0,Estado de alerta,heavy
69,2025-08,0.0,19,0,Estado de alerta,heavy
69,2025-09,0.0,20,0,Estado de alerta,heavy
69,2025-10,0.0,16,0,Estado de alerta,heavy
69,2025-11,0.0,16,0,Estado de alerta,heavy
69,2025-12,0.0,19,0,Estado de alerta,heavy
69,2026-01,0.0,16,0,Estado de alerta,heavy
70,2025-07,0.0,3,0,Estado de alerta,chronic
70,2025-08,0.0,2,0,Estado de alerta,chronic
70,2025-09,0.0,1,0,Estado de alerta,chronic
70,2025-10,0.0,2,0,Estado de alerta,chronic
70,2025-11,0.0,3,0,Estado de alerta,chronic
70,2025-12,0.0,2,0,Estado de alerta,chronic
70,2026-01,0.0,2,0,Estado de alerta,chronic
71,2025-07,0.0,2,0,Estado de alerta,chronic
71,2025-08,0.0,1,0,Estado de alerta,chronic
71,2025-09,0.0,2,0,Estado de alerta,chronic
71,2025-10,0.0,3,0,Estado de alerta,chronic
71,2025-11,0.0,1,0,Estado de alerta,chronic
71,2025-12,0.0,2,0,Estado de alerta,chronic
71,2026-01,0.0,2,0,Estado de alerta,chronic
72,2025-07,0.0,6,0,Estado de alerta,weekend
72,2025-08,0.0,6,0,Estado de alerta,weekend
72,2025-09,0.0,6,0,Estado de alerta,weekend
72,2025-10,0.0,5,0,Estado de alerta,weekend
72,2025-11,0.0,6,0,Estado de alerta,weekend
72,2025-12,0.0,6,0,Estado de alerta,weekend
72,2026-01,0.0,5,0,Estado de alerta,weekend
73,2025-07,0.0,18,0,Estado de alerta,heavy
73,2025-08,0.0,16,0,Estado de alerta,heavy
73,2025-09,0.0,16,0,Estado de alerta,heavy
73,2025-10,0.0,19,0,Estado de alerta,heavy
73,2025-11,0.0,18,0,Estado de alerta,heavy
73,2025-12,0.0,16,0,Estado de alerta,heavy
73,2026-01,0.0,20,0,Estado de alerta,heavy
74,2025-07,0.0,2,0,Estado de alerta,chronic
